,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
12,Lins de Vasconcelos,3,1,1,90,1500.0,455.0,14.0
36,Recreio dos Bandeirantes,3,1,1,105,2300.0,648.0,0.0
48,Recreio dos Bandeirantes,3,2,2,100,2600.0,380.0,0.0
49,Barra da Tijuca,3,1,1,72,2350.0,600.0,70.0
51,Recreio dos Bandeirantes,3,1,2,92,2300.0,840.0,200.0
64,Méier,3,1,0,90,1550.0,844.0,80.0
70,Jacarepaguá,3,1,1,74,1900.0,556.0,98.0
90,Barra da Tijuca,3,2,1,104,2600.0,1364.0,406.0
97,Barra da Tijuca,3,2,2,85,2500.0,1400.0,190.0
98,Todos os Santos,3,1,1,78,1450.0,630.0,73.0
118,Tijuca,3,1,0,172,2700.0,780.0,170.0
119,Freguesia (Jacarepaguá),4,3,2,261,2800.0,2535.0,3900.0
141,Recreio dos Bandeirantes,3,2,1,90,1200.0,880.0,144.0
177,Recreio dos Bandeirantes,3,2,1,104,2200.0,740.0,258.0
190,Tijuca,3,0,0,87,1600.0,650.0,100.0
197,Barra da Tijuca,3,1,2,93,2500.0,1100.0,0.0
218,Tijuca,3,1,1,78,2500.0,730.0,178.0
223,Recreio dos Bandeirantes,3,2,1,102,1850.0,882.0,0.0
227,Maracanã,3,2,3,158,2400.0,1265.0,0.0
230,Barra da Tijuca,3,1,1,84,1900.0,1103.0,212.0
231,Freguesia (Jacarepaguá),3,1,1,77,1600.0,850.0,165.0
234,Tijuca,3,0,0,75,1800.0,350.0,0.0
263,Laranjeiras,3,1,1,90,2400.0,1311.0,0.0
276,Tijuca,3,1,0,129,1800.0,850.0,116.0
280,Freguesia (Jacarepaguá),3,1,1,93,1800.0,650.0,95.0
301,Freguesia (Jacarepaguá),3,1,0,84,1500.0,900.0,0.0
308,Ilha do Governador,3,1,0,83,1500.0,440.0,132.0
311,Maracanã,3,1,0,95,2500.0,600.0,80.0
325,Barra da Tijuca,3,1,1,105,2500.0,1400.0,1500.0
335,Gávea,3,0,1,120,2700.0,880.0,238.0
346,Recreio dos Bandeirantes,3,3,1,132,2800.0,879.0,0.0
359,Recreio dos Bandeirantes,3,2,2,106,2500.0,780.0,248.0
405,Praça Seca,3,0,0,90,900.0,330.0,15.0
406,Vila Isabel,3,3,1,124,1700.0,1400.0,0.0
413,Freguesia (Jacarepaguá),3,2,1,126,1500.0,1000.0,150.0
415,Recreio dos Bandeirantes,3,2,1,94,1900.0,1300.0,198.0
420,São Francisco Xavier,3,1,1,73,1200.0,520.0,0.0
461,Freguesia (Jacarepaguá),3,2,1,100,2100.0,780.0,140.0
464,Copacabana,3,0,0,80,2500.0,800.0,157.0
467,Recreio dos Bandeirantes,3,1,1,85,1900.0,450.0,112.0
488,Campo Grande,3,1,1,98,1800.0,950.0,0.0
498,Recreio dos Bandeirantes,3,2,1,150,2500.0,1012.0,0.0
506,Recreio dos Bandeirantes,3,3,1,110,1500.0,873.0,0.0
514,Tijuca,3,1,0,88,2300.0,790.0,885.0
519,Tijuca,3,1,0,116,2000.0,790.0,194.0
